sofifa_id,short_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot
158023,L. Messi,33,1987-06-24,170,72,Argentina,FC Barcelona,Spain Primera Division,93,93,67500000,560000,"RW, ST, CF",Left
20801,Cristiano Ronaldo,35,1985-02-05,187,83,Portugal,Juventus,Italian Serie A,92,92,46000000,220000,"ST, LW",Right
188545,R. Lewandowski,31,1988-08-21,184,80,Poland,FC Bayern München,German 1. Bundesliga,91,91,80000000,240000,ST,Right
190871,Neymar Jr,28,1992-02-05,175,68,Brazil,Paris Saint-Germain,French Ligue 1,91,91,90000000,270000,"LW, CAM",Right
192985,K. De Bruyne,29,1991-06-28,181,70,Belgium,Manchester City,English Premier League,91,91,87000000,370000,"CAM, CM",Right
192448,M. ter Stegen,28,1992-04-30,187,85,Germany,FC Barcelona,Spain Primera Division,90,93,69500000,260000,GK,Right
203376,V. van Dijk,28,1991-07-08,193,92,Netherlands,Liverpool,English Premier League,90,91,75500000,210000,CB,Right
212831,Alisson,27,1992-10-02,191,91,Brazil,Liverpool,English Premier League,90,91,62500000,160000,GK,Right
209331,M. Salah,28,1992-06-15,175,71,Egypt,Liverpool,English Premier League,90,90,78000000,250000,RW,Left
192119,T. Courtois,28,1992-05-11,199,96,Belgium,Real Madrid,Spain Primera Division,89,90,56000000,250000,GK,Left
155862,Sergio Ramos,34,1986-03-30,184,82,Spain,Real Madrid,Spain Primera Division,89,89,24500000,300000,CB,Right
165153,K. Benzema,32,1987-12-19,185,81,France,Real Madrid,Spain Primera Division,89,89,53000000,350000,"CF, ST",Right
167495,M. Neuer,34,1986-03-27,193,92,Germany,FC Bayern München,German 1. Bundesliga,89,89,29000000,125000,GK,Right
200145,Casemiro,28,1992-02-23,185,84,Brazil,Real Madrid,Spain Primera Division,89,89,59500000,310000,CDM,Right
210257,Ederson,26,1993-08-17,188,86,Brazil,Manchester City,English Premier League,88,91,53500000,195000,GK,Left
202652,R. Sterling,25,1994-12-08,170,69,England,Manchester City,English Premier League,88,90,72500000,270000,"LW, RW",Right
212622,J. Kimmich,25,1995-02-08,176,73,Germany,FC Bayern München,German 1. Bundesliga,88,90,65000000,145000,"CDM, RB",Right
202126,H. Kane,26,1993-07-28,188,89,England,Tottenham Hotspur,English Premier League,88,89,71000000,220000,ST,Right
211110,P. Dybala,26,1993-11-15,177,75,Argentina,Juventus,Italian Serie A,88,89,71000000,190000,"CF, CAM",Left
182521,T. Kroos,30,1990-01-04,183,76,Germany,Real Madrid,Spain Primera Division,88,88,55000000,310000,CM,Right
183277,E. Hazard,29,1991-01-07,175,74,Belgium,Real Madrid,Spain Primera Division,88,88,58000000,350000,"LW, ST",Right
201024,K. Koulibaly,29,1991-06-20,187,89,Senegal,Napoli,Italian Serie A,88,88,50000000,140000,CB,Right
233049,J. Sancho,20,2000-03-25,180,76,England,Borussia Dortmund,German 1. Bundesliga,87,93,69500000,82000,"RM, LM, CAM",Right
231281,T. Alexander-Arnold,21,1998-10-07,180,69,England,Liverpool,English Premier League,87,92,60000000,110000,RB,Right
212198,Bruno Fernandes,25,1994-09-08,179,69,Portugal,Manchester United,English Premier League,87,90,63000000,195000,"CAM, CM",Right
212218,A. Laporte,26,1994-05-27,189,85,France,Manchester City,English Premier League,87,90,56000000,200000,CB,Left
209499,Fabinho,26,1993-10-23,188,78,Brazil,Liverpool,English Premier League,87,89,54500000,155000,CDM,Right
216267,A. Robertson,26,1994-03-11,178,64,Scotland,Liverpool,English Premier League,87,89,53000000,155000,LB,Left
218667,Bernardo Silva,25,1994-08-10,173,64,Portugal,Manchester City,English Premier League,87,88,60000000,230000,"RW, CAM, CM",Left
138956,G. Chiellini,35,1984-08-14,187,85,Italy,Juventus,Italian Serie A,87,87,15500000,94000,CB,Left
